"爐子型號"	"爐子挖孔尺寸"
"PDK-FR104"	"外徑 760 x 460(方形槽) 
內徑 720 x 420"
"CT-002"	"外620*480*200
內560*420*200"
"G-252KSN"	"670*350*R0"
"EIT913"	"880*380"
"PKY475FB1E"	"362*492"
"PXV975DV1E"	"882*492"
"LUX-30 1G"	"282*482
300*505"
"Q4-60MB7400 TW"	"560*490"
"PXY875DC1E"	"750*490*R5"
"PXE875DC1E"	"750*490-500"
"RINNAI RB-2231H"	"720*425"
"LUX-78"	"710*410"
"PRA3A6D71T"	"272*498*R5
面306*527"
"PXY875KW1E"	"(停產)750*490*R5"
"CI 283 111"	"780*490"
"PKF-375V14E"	"272*492*R5"
"GS-333"	"728*468*R105"
"RB-T312GB"	"725*465*R85"
"RB-3CGT"	"挖820*410*R10"
"EG-262"	"670*350*R30"
"JT-2208A"	"670*350*R85"
"IH-2228W"	"410*507"
"G-9633GB"	"728*468*R113"
"G-6150AS"	"670*350前言開挖8CM"
"RB-H2280A"	"630*367"
"SG-9321"	"735*470*R約113"
"RH-H2280A"	"630*367"
"RBTS-227GC"	"670×350*R30前沿8"
"HIP-72B2L"	"710*410"
"G-2112GB"	"285*485R12
面315*510"
"IR-2339"	"挖720*425"
"PD-AF61WV"	"560*460*R20
前沿6.5開挖"
"PF-7021S"	"面730*430
挖670*400"
"KM-6200"	"挖560*490*R5
面57.4"
"IG-940 1G"	"860*490"
"SG-903A"	"728/*468*R113"
"RB-2CGTTR"	"705*405*R5"
"PXE675DE4E"	"560*490"
"KZ-G32AK"	"560*460*R20"
"EGG-3322NVX"	"挖270*495*5
面290*510"
"EGG-3313NOX"	"挖270*495*5
面290*510"
""	""
"EGC-3313NVK"	"270*490"
"EHI727BA"	"680*400"
"RB-Q230"	"670*350*R85"
"RB-Q230G"	"670*350*R85"
"KZ-YD36S"	"560*460*R20"
""	""
"G-2830KGN"	"728*468*R113"
"EHI7260BA"	"680*400*R5"
"TG-8505G"	"670×350(R85)"
"KY-C227E"	"挖710*368*R3
面742*400"
"PXY875KW1W"	"750*490*R5"
"G-2721GB"	"670*350*R85"
"G-2511G"	"670*350*R30"
"DD-0601"	"內:650*460"
"G-2721G"	"670*350*R85"
""	""
"RBTS-N201GB"	"挖670*350*R10
前沿8CM公分"
"BTW157LSS"	"尺寸:W685*H43*D510mm
挖:w555*D485mm"
"TEKA IZ-7210"	"挖695*360
面:730*430"
"G-2721"	"670*350*R85"
"RHS71W23L7RSTW"	"560*460"
"JT-2102"	"670*350*R5"
"RB-230G"	"670*350*R85"
"SE-830"	"外徑：830 x 525 x 220 mm

內徑：750 x 452 x 220 mm"
"JT-GC309A"	"725*465*R92.5"
"RB-22G-TY"	"670*350*R85"
"G-2721KG"	"機體:730*420*150
挖孔:670*350*R85"
"RB-H301"	"機體:W770*H159*D150
挖孔:725*465*R85"
"JT-2100"	"670*350*R5"
"JZC-61332"	"560*490"
"RB-A2760GB"	"725*465*R85"
"RB-2CGN-TRB"	"挖703*403
面:738*434"
"IH-1033"	"外觀:300*520*81
挖孔:280*507"
"EG2501G"	"516×480 mm"
""	""
"VTTC-2P.1B"	"產品:W300*H65*D520mm
安裝:W270*D500mm"
"G-2721S"	"670*350*R85"
"CSKF7446"	"外徑:740*460
內徑:700*420"
"SE-3780"	"外徑：780x460x210mm
內徑：740x420x210mm"
"SRV531TX"	"規格:H30xW306xD500mm
挖孔尺寸:W256xD482mm"
"MIEIE KM540"	"600*500"
"FUJi ton 292SG"	"版面:760*445
挖孔:660*330"
"E770"	"面:774*514
挖:740*480"
"RB-2CGN-TR"	"703*403"
"RB-M2610G"	"670*350*R85"
"KZ-G32AS"	"565*460*R10
前沿:6.5CM開挖"
"EFT9437CK"	"832*470"
"EG-2231G"	"270*490"
"RB71W23L7R5"	"560*460*R20(前沿6.5開挖)"
"KBG110-50"	"外      徑   54 x 44 x 20 cm
槽      身   50 x 40 x 20 cm"
"RHS72W22E5VC-BW"	"565*460*R10(前沿6.5開挖)"
"RHS71W32L24RAS-TW"	"565*460*R10(前沿6.5開挖)"
"RB-A2760G"	"725*465*R85~R113"
"EG-2200G"	"670*350*R85"
"爐連烤-4CM"	"565*460*R10(前沿6.5開挖)"
"HT-B60S"	"565*460*R10(前沿6.5開挖)"
"KL-505"	"內徑：560 X 410 X 210 mm"
"KZ-A1V7K"	"爐連烤565*460*R10(前沿6.5開挖)"
"SUS-304"	"680*450*220MM"
"GH-7300"	"706*414*R5
(面版730*430)"
"EHI-7260BA"	"面700x420
挖680x400XR5"
"GH7450-GS"	"745*490"
"G-2820GBN"	"670*350*R30"
"VTTC-1AB"	"270*500"
""	""
"CT-1669B"	"外徑:690*500
內徑:610*420"
"SE-710-0"	"外徑:710*510
內徑:630*430"
"KL-9776"	"外徑:756*476
內徑:700*420"
"LW595GUR"	"W680xD370mm"
"MB-201"	"670*350*R85"
"JT-2208A"	"670*350*R85"
"TG-8501GB"	"67*35*R8.5"
"EG-2120GB"	"280*355"
"TEKA-IZ-7210"	"挖695*360
面730*430"
"JT-1600"	"外徑：600×510×230mm
內徑：550×460×230mm"
"MB-300GN"	"670*350*R85"
"RS31W28U12RVW"	"565*460*R10(前沿6.5開挖)"
"PI-3512TF"	"挖285*490
面300*520"
"ARISTON-DK10"	"面288*510
挖270*494"
"KZ-G32AST-4CM"	"挖565*460*R10
前沿6.5開挖爐連烤"
"SED-1070"	"外徑：1070 x 495 x 215 mm（厚度0.7mm）"
"JT-SS600"	"外徑：600X510X240mm
內徑：550X460X240mm"
"PXE675DE4E"	"560 x 490 - 500mm"
"VHI-72520TU"	"機體:760*450*55
挖孔:W710*D410"
"RB-302B"	"挖725*465*R85"
"GC-209AWN"	"機體:770*450*120
挖孔:670*350*R85"
"GC-209AW"	"""機體:770*450*120
挖孔:670*350*R85"
"G-252K"	"面700*400
挖670*350"
"TEKA-IG-6201G"	"機體:w600*H50*D505MM
安裝:W560*H90*D490MM"
"EHT-9331"	"832*470"
"KY-E227E"	"710*368*R5"
"MB-N201G"	"670*350*R85"
"QUADRA-130-U"	"外:w760*H220*D440MM
內:W720*D400MM"
"G-2122G"	"機體:315*510*125
挖孔:285*485*R12"
"GH-301"	"670*350*R20"
"ST-3138"	"728*468*R92.5"
"ARISTON PC930"	"外觀:870*510*3.3
挖:840*475"
"PXY801KW1E"	"780*500"
"CS-G34VWS-4CM"	"565*460*R10
前沿6.5開挖爐連烤"
"EG-2012"	"274*350*R10"
"GS-297Q"	"尺寸:760*465*145mm
挖孔尺寸:660*330mm*R60"
"G-6703G"	"670*350嵌爐-8CM"
"KY-E227EK"	"機體:742*400*107mm
安裝:710*368*R5"
"RB-202GHB"	"外:750*163*420
挖孔:670*350*R85"
"MBTS-227GC"	"660*317崁入爐"
"RBG-N71W5GA3XSV"	"爐連烤
外740*257*538
挖565*460*R10-6.5"
"KW-A1W70-K"	"710 × 368"
"CSK-CS5447"	"內490*420*R10,R10,外540*470"
"JT-GC288AT"	"機體:770*520*125mm
挖孔:725*465*92.5mm"
"IZ-7210"	"外:73*43
挖695*360"
"BESTGH2909"	"外:509*304
挖:490*284"
"GS-293N"	"挖670*350*R30"
"PD-811WS-75CV"	"565*460*R10-6.5開挖"
"CT-005-1"	"外:535*46*28
內:48*40*28"
"TOTO-L5715E"	"外:500*380
挖:462*332*R"
"TOTO-L5715E"	"外:600*380"
"KL-602"	"外:690*510*200mm
內:630*455*200mm"
"EGT9239CK"	"832*470"
"SE-3880"	"外:880*460*210mm
內:840*420*210mm"
"LW-711RCB"	"外:60*50
挖:400*370*R10"
"PD-810WV-75CV"	"560*460*R10-6.5開挖"
"CSKCS-5447"	"內:490*420*R10
外:540*470"
"SC-740"	"內:740*420*230mm"
"SE-3540"	"外540*460
內500*420"
"L710CSRETW"	"外:500*450*H7
挖:435*380"
"LW1717B"	"外:700*400
挖:649*362"
"LW-523GUR"	"挖90*134*R5
外徑直徑43"
""	""
"RBTS-N201G"	"660*317(R0)"
"RB71W23L7R5-STW-RT"	"挖:565*460*R10
前沿:6.5開挖"
"L-5616CE"	"外600*460"
"L-5502"	"尺寸51*37.5"
"RB71W23L7R5-STW-TR"	"挖:565*460*R10
前沿:6.5開挖"
"MB-N201"	"670*350*R85"
"DS-740"	"外:740*515
內:660*350"
"TID6516"	"挖560*490"
"A021"	"外:751*446*229mm
內:711*406*229mm"
"A014"	"外:650*440*220mm
內:620*410*220mm"
"RB71W23LIRS"	"挖560*460*R20
前沿6.5CM開挖"
"SK"	"外:90.8X59   
內:82X52"
"L4057S"	"外:61*43
挖:533*350"
"EG-2301B"	"挖732*472*R105"
"G-2623A"	"728x468xR113"
"MJGL-7040"	"(不適合作凸)"
"N801BIAEB"	"""外徑尺寸 :834*554(65深枱面)
內徑尺寸 :800*430"""
"PKY475FB1W"	"挖360*490~500
面396*527"
"JT-GC299A"	"機體:755*425*115
挖孔:670*350*R85"
"RB-2CGT-TR"	"外觀:738*130*434
挖孔:703*403"
"SB-2082"	"機身:730*445*130
挖:668*403*R92.5"
"NB-N201G"	"670*350*R85"
"GH-2979"	"280*480
面300*505"
"EFX-30 1G"	"282*482"
"RB-N218G"	"外觀:755*145*415
挖孔:670*350*R85"
"IJIA GH-301"	"外觀:w760*55*D450
挖孔:W670*D350*R20"""
"G-2633"	"728*468*R113"
"EFX-30 2G"	"282*482"
"RB-F219G(CW)"	"670*350*R85"
"JT-IHC168F"	"挖:278*348
面:302*372"
"JT-IHC168K"	"挖:275*275
面:298*298"
"L620KTW"	"外:646*421
內:530*350"
"LW1540TW"	"外:47*47
內:38*38"
"HG2"	"704*412"
"R8437-2PC-CMI"	"外:84*56
內:78*43.5"
"EKS-730"	"外:730*460
內:700*400"
"EKS-585"	"外:585*525
內:530*420"
"PHN932"	"挖835*475"
"PD-810WV-75CVN"	"挖565*460*R10前沿6.5開
面板:74*51.2"
"RB-Q230GB"	"670*350*R85"
"PRB3A6D71T"	"272*498*R5
面306*527"
"RBG-N71W5GA3X-SV"	"爐連烤
565*460*R10前沿6.5開挖"
"RB-2232H"	"720*425"
"G-2723GB"	"機:730*420
挖:670*350*R85"
"SR-100T"	"機:225*265
挖:208*248"
"IZS-34600"	"機:300*D510
挖:280*D490"
"爐連烤"	"挖 565*460*R10
前沿6.5開挖"
"EGT-7427CK"	"732*421"
"TOTO L700CET"	"尺寸:W490*D490*H90mm"
"GH-7300G"	"706*414*R5
(面版780*450)"
"RB-M2600G"	"670*350*R85"
"L-2214"	"規格:510*500*160mm"
"IG-620"	"挖560*490
面600*505"
"RB-G350GN"	"560*460*R20前沿6.5開挖"
"RB-F312F"	"725*465*R85"
"MB-200SF"	"外觀尺寸W750×H149×D435
挖孔尺寸 W670×D350(R85)"
"RB-N100GB"	"挖 268×490*R0
面 310×520"
"LUX-301G"	"面:300*505
挖:282*482"
"JT-GC-209S"	"面 700*420*120
挖 670*350*85"
"G-9511KGW"	"挖670*350*R85"
"G-9520GB"	"670*350*R85"
"JT-GC209AR"	"機身:770*450*120
挖孔:670*350*R85"
"W-102"	"外 69*51
內63*45.5"
"SE-8840-1"	"外:840*520
內:760*455"
"L2584"	"外840*460
內800*420"
"SE-101-2"	"外710*520
內650*460"
"MN-100-88"	"外83.7*53
內76.7*41.2"
"HT-M100HTWF"	"挖 565*460*R10
前沿6.5開挖"
"SRU251610TW"	"外67.3*46
內63.6*42.3"
"G-9633GW"	"挖728*468*R113"
"JT-GC209AF"	"670*350*R85"
"RB-F219GY"	"670*350*R85"
"GH862-GS"	"835*490*R5"
"EIT-913"	"880*380"
"G-9260KGB"	"728*468*R113"
"EG2200G"	"670×350×R85"
"GAGGENA"	"挖272*492*R5"
"78*45方槽"	"挖738*405"
"EHK-6545"	"外650*450
內600*400"
"EK775/46"	"外780*470
內740*430"
"PWKW1SS"	"268*490"
"ZQB135-SZ100"	"362*462"
"EL3105"	"外770*450
內725*400"
"ST-2273"	"668×403×R92.5"
"KL-168BN"	"外820*520
內:760*460"
"EH-2002"	"675x400"
"SH-313"	"外觀(尺寸mm)(L)510*(W)290*(H)64
挖孔:(尺寸mm)(L)490*(W)270 "
"PR-830S"	"外830*525
內750*452"
"JT-2009"	"機身:750x430x140
挖孔:670x350xR85"
"KM7474FR"	"780*500*R4"
"IH-2895"	"720×425"
"JT-2203S"	"機身尺寸(W)692 x (D)428 x (H)125 mm
挖洞尺寸(W)665 x (D)402 / 92.5 mm"
"RB-M2600"	"670*350*R85"
"MBTS-Q230G-崁爐"	"外觀720*225**470
挖660*317*R0-前沿8公分開挖"
"EFX-730N"	"面730 X 430
挖704 X 412"
"TID2310"	"280*355"
"RB-F219P"	"外觀尺寸 755×149×415
挖孔尺寸 670×350(R85)"
"RB-302GB"	"725*465*R85"
"G-6703S"	"670*325嵌爐"
"RB71AM5U32S-VW-TR"	"爐連烤565*460*R10-6.5"
"CX482IH爐"	"面804*520
挖784*492"
"PDS-880"	"外880*525
內810*468"
"華財ZERA HAOF"	"282*482(面300*500)"
""	""
"TSR1803"	"274*350"
"LUX-302G"	"282*482(面300*505)"
"LUX-301G"	"282*482(面300*505)"
"VEG2380"	"W680xD410 mm"
"IZS-34600"	"挖280*490
面300*510"
"RB-200WN"	"670*350*R85"
"TG-8533G"	"728*468*R113"
"TEPPANYAKI-380"	"380*520
360*490"
"SQUARE50.40"	"外54*44
內50*40"
"PIF672FB1E"	"560*490"
"MIELE CS1011G"	"272*500*R4"
"TEKA IZS-34600"	"280*490"
"CV282111"	"783*493"
"FSM653"	"560*480~492 "
"EGT7828CK"	"732*421*R50"
"PD-809WS-75CV"	"565*460*R10-6.5"
"PI-6530ATPO"	"560*490"
"HIP-72B2"	"710*410"
"HIP72B2L"	"710*400"
"HIP-72B2R"	"710*410"
"GH9055"	"705*405"
"RB-L2710G"	"725*465*R85"
"L710CSRETW"	"435*380(後方漂亮)"
"MB-Q230G"	"670*350*R85"
""	""
"IZF-68700"	"W551 X H90 X D480mm"
"IH-730"	"695*335"
"G-2630GB"	"728*468*R113"
"KYE227E"	"710*368*R3"
"RB-S2630G"	"670*350*R85"
"KY-E227EB"	"710*368*R3"
"RB-H2180"	"挖268*490
面290*510"
"EH-3320NVK"	"外290*520
內276*490*R5"
"RB-312NG"	""
"KY-E227E-W"	"710*368*R3"
"TEKA CGW LUX-30"	"W350*H100*D482mm"
"RM66RTCBI"	"(W) 27 X(D) 38 cm"
"LUX-30"	"350*470"
"IZC-34600"	"280*490"
"MB-302GH"	"725×465(R85)"
"EHF3320NOK"	"270*490"
"G-2722G"	"670*350*R85"
"RB-2CGB"	"703*403"
"EFX730/R"	"面W730 X D430 mm
挖W704 X D412 mm"
"EFX730/L"	"面W730 X D430 mm
挖W704 X D412 mm"
""	""
"TG-8311"	"670*350*R85"
"EHH-3320NVK"	"面300*520
挖270*490"
"EGC3313NVK"	"面 290*520
挖 270*490"
"ST-3239"	"挖728×468×R92.5
面760×500×120"
"LUX-30 1G"	"282*482"
"LUX-30 2G"	"282*482"
"IZS-34600"	"300*505"
"PKU375FB1E"	"270*490"
"TG-7606G"	"670*350*R10前沿8開挖"
"G-2721N"	"670*350*R85"
"EG2350G"	"680*410"
"RB-M2710G"	"725*465*R85"
"CS-1028"	"364*500"
"CS-1011G"	"272*500"
"YW-7545"	"外75  內68"
"RB-M2620G"	"670*350*R85"
"RB-M2720"	"725*465*R85"
"RB-M2700G"	"725*465*R85"
"TID7040"	"744*494"
"EMF2"	"285*490"
"YW-6845"	"外68X45
內61X38"
"WT1760"	"外760*440*200
內720*400*200"
"570.33.070"	"外825.5*466.7
內768*414"
"EG-2350GB"	"685*410*R5"
"EG-2250G"	"275*495*R5
(面290*510)"
"EG2250G"	"275*495*R5
(面290*510)"
"KL-106"	"內730×460×215 mm
外780×510×230 mm"
"se-640"	"外640 x 490 x 200 mm
內560 x 410 x 200 mm"
"PXV845FC1E"	"780*500"
"CS 7101-1"	"358*500"
"CS 7102-1"	"358*500"
"RB-3CGN"	"815*405"
"P-3800"	"728*468*R92.5"
"TG-8603"	"670*350*R85"
"RB-M2720G"	"725*465*R85"
"KY-E227E-K"	"710*368*R3"
"EH-17260BA"	"680*400"
"RB-M2620GB"	"670*350*R85"
"RB-M2610GB"	"670*350*R85"
"TS-9720"	"570*375"
"RB-71W23L1R5-TR"	"560*460*R30"
"PBP2V1501FTB1"	"285*490"
"GH-2929"	"280*480
面300*505 "
"RB-H1181S"	"263*314"
"RB-L2620G"	"670*350*R85"
"KZ-AN77S"	"挖 565*460*R10
前沿6.5開挖"
"CS-T321HNWSR"	"565*460*R10(前沿6.5開挖)"
"KZ-A1M7S"	"565*460*R10(前沿6.5開挖)"
"RB-L2680GB"	"670*350*R85"
"KY-X227"	"710*368*R3"
"RB-L2600G"	"670*350*R85"
"RB-2721GB"	"670*350*R85"
"G-2932AG"	"728 x 468 mm (R113)"
"G-2932"	"728 x 468 mm (R113)"
"RB-Q0230G"	"670*350*R85"
"RB-L2680G"	"670*350*R85"
"PXY875KV1E"	"750*490*R5"
"RB-3CGN-TR"	"815×405×R0"
"BBQ鐵板燒"	"挖790*590
面806*605"
"REM-88"	"挖75 X 49
面80 X 54 "
"JT-IH221"	"660*350*R5"
""	""
"RB-M2600GB"	"670*350*R85"
"RB-M2610"	"670*350*R85"
"TS-9701"	"280*355"
"EG-2250G"	"面290*510
275*495*R5"
"MB-L2700G"	"725*465*R85"
"KY-E227EW"	"710*368*R5"
"HIP-72B2S2"	"710*410"
"RB-F218G"	"670*350*R85"
"KY-E227E"	"710*368*R5"
"N750BIA-EB"	"750*465*210"
"DK20"	"挖270*494
面28.8*510"
"G-2522BGW"	"670*350*R85"
"G-2522BGWN"	"670*350*R85"
"KZ-AN26S"	"挖 565*460*R10
前沿6.5開挖"
"VB4A7060R1"	"挖 550*440*R10"
"DTI1047GC"	"560*490"
"G2721G"	"670*350*R85"
"MB-D3700GB"	"725*465*R85"
"MB-D3700GBL"	"725*465*R85"
"MB-D3700GBR"	"725*465*R85"
"MB-D3700"	"725*465*R85"
"RB-L2600GB"	"670*350*R85"
"IBC-7322S"	"挖680*380"
"G-2522BG"	"670*350*R85"
"G-2522B"	"670*350*R85"
"G-2522"	"670*350*R85"
"RB71AM5U32S"	"爐連烤565*465*R10(前沿6.5開挖)"
"KM7564"	"603*503*R4"
"G-2921G"	"728*468*R113"
"RB-A3760G(BL)"	"725*465*R85"
"RB-L3710G"	"725*465*R85"
"IH-2268"	"672*372"
"EHI977BE"	"880*490*R5"
"MB-D2600G"	"670*350*R85"
"KY-E227A"	"720*420*R15"
"CS 7612"	"358*500"
"CS 7101"	"358*500"
"IBC-7320D"	"挖680*380
面730*430"
"RB-2600G"	"670×350(R85)(適用W660~680 X D350~403 (R85)挖孔)"
"IH-2890"	"720×425"
"FIH-7210"	"挖670*400"
"PD-819WS-60CV"	"爐連烤565*465*R10(前沿6.5開挖)"
"FIH 7210"	"挖670*400"
"RB71AM3B1S"	"560*460*R10~30"
"VEG2220"	"268*500
面288x520"
"IZC 93320 MST"	"W860xD380mm"
"EG-9120GB"	"280x355 mm"
"GH7055"	"705x405mm"
"FSM653IDBK"	"580x490mm"
"TG-7312"	"670x330mm*R5 崁入爐前沿開挖八公分"
"RB-N1201G"	"挖268×490(R0)
面310*520"
"PD-862WS-75CK"	"爐連烤565*465*R10(前沿6.5開挖)"
"PD-829WS-75CV"	"爐連烤565*465*R10(前沿6.5開挖)"
"CS7101-1"	"358*500"
"CS7612"	"358*500"
"RB-2231HA"	"720*425*R0"
"RB-N3811G(B)"	"815*405(R0)"
"VG231-220CA"	"268*492"
"VG232-220CA"	"268*492"
"VI232-121"	"268*492"
"RHS71W32L1RSTW"	"560*460*R30"
"KY-A1W70-W"	"710*368"
"PXE895DC1E"	"750*490"
"RB-A2660G(B)"	"670*350*R85"
"RB-M2620GBN"	"670*350*R85"
"G-2922BGC"	"670*350*R85"
"EG-2100G"	"挖270*490面290*490"
"VG415211CA"	"挖360*492*R3面380*520"
"VG23222OCA"	"挖268*492*R3面288*512"
"FMY658IFPBK"	"挖580*490   面650*510"
"RB-Q230G(B)"	"670×350 (R85)"
"FMY808"	"750*490*R10"
"CI282112"	"780*490*R3"
"RB-2621GB"	"挖670*350*R85"
"EG2250GB"	"挖270*490R3面290*510"
"CSDA 7001"	"W100 x D500(內徑)
W124 x D524(外徑) mm"
"G1150"	"挖695*385*R5
面730 x 400 x 60"
"IH-188"	"隱藏爐"
"KZ-A1T7K"	"爐連烤565*465*R10
(前沿6.5開挖)"
"EG2200AG"	"670*350*R85"
"EG2320GB"	"停產570*375(面650*430)"
"G-2922BG"	"670*350*R85"
"G360GB"	"670*350*R85"
"G-2922S"	"670*350*R85"
"A9N"	"檯面深度60"
"A9U"	"檯面深度65"
"FMY808IFPBK"	"挖750*490面77*51"
